Date,SalesRep,Product,Units,Price,Total Sales,City,Region,Day
1/1/2013,Isabel  Cross,Nestle Aero Mint Potz,4,495,1980,Ranchi,East,Tuesday
2/1/2013,Cecilia  Manning,Nestle Smarties Pop-Up,2,438,876,Trivandrum,South,Wednesday
2/1/2013,Isabel  Cross,Nestle Maxibon Cookie,1,426,426,Ranchi,East,Wednesday
2/1/2013,Shari  Silva,Nestle Maxibon Cookie,2,260,520,Mysore,South,Wednesday
2/1/2013,Trevor  Jones,Nestle Toffee Crumble,4,285,1140,Pune,West,Wednesday
3/1/2013,Trevor  Jones,Nestle Toffee Crumble,2,206,412,Pune,West,Thursday
3/1/2013,Trevor  Jones,Nestle Fab,3,222,666,Pune,West,Thursday
4/1/2013,Max  Rodgers,Nestle Milky Bar Stick,15,458,6870,Nagpur,West,Friday
4/1/2013,Ruben  Nunez,Nestle Rowntree Fruit Pastil,2,304,608,Shimla,North,Friday
4/1/2013,Salvador  Bass,Nestle Rowntree Fruit Pastil,2,224,448,Goa,West,Friday
4/1/2013,Rachel  Gomez,Nestle Kit Kat Cone,2,318,636,Delhi,North,Friday
4/1/2013,Christina  Fuller,Nestle Fab,2,165,330,Nagpur,West,Friday
4/1/2013,Andrew  Meyer,Nestle Aero Mint Potz,6,167,1002,Mumbai,West,Friday
5/1/2013,Don  Gonzales,Nestle Toffee Crumble,4,431,1724,Mysore,South,Saturday
5/1/2013,Ruben  Nunez,Nestle Fab,3,342,1026,Srinagar,North,Saturday
5/1/2013,Shari  Silva,Nestle Rowntree Fruit Pastil,2,180,360,Mysore,South,Saturday
5/1/2013,Herman  Williams,Nestle Fab,1,435,435,Darjeeling,East,Saturday
5/1/2013,Ruben  Nunez,Nestle Smarties Pop-Up,19,193,3667,Ahmedabad,West,Saturday
5/1/2013,Beth  Tucker,Nestle Rowntree Fruit Pastil,3,437,1311,Pune,West,Saturday
5/1/2013,Marian  Hill,Nestle Toffee Crumble,2,298,596,Trivandrum,South,Saturday
5/1/2013,Carla  Mccormick,Nestle Smarties Pop-Up,1,247,247,Varanasi,North,Saturday
5/1/2013,Brooke  Horton,Nestle Smarties Pop-Up,2,271,542,Nainital,North,Saturday
5/1/2013,Bethany  Pena,Nestle Rolo Potz,3,297,891,Nagpur,West,Saturday
6/1/2013,Rachel  Gomez,Nestle Rolo Potz,2,253,506,Delhi,North,Sunday
6/1/2013,Sylvester  Morales,Nestle Smarties Pop-Up,1,298,298,Mumbai,West,Sunday
7/1/2013,Kyle  Carr,Nestle Rowntree Fruit Pastil,2,292,584,Delhi,North,Monday
7/1/2013,Salvador  Bass,Nestle Kit Kat Cone,1,491,491,Goa,West,Monday
7/1/2013,Trevor  Jones,Nestle Rowntree Fruit Pastil,2,401,802,Pune,West,Monday
7/1/2013,Brooke  Horton,Nestle Rolo Potz,2,255,510,Nainital,North,Monday
7/1/2013,Marian  Hill,Nestle Milky Bar Stick,1,231,231,Trivandrum,South,Monday
7/1/2013,Tracy  Reed,Nestle Maxibon Cookie,3,356,1068,Agra,North,Monday
7/1/2013,Trevor  Jones,Nestle Toffee Crumble,1,228,228,Pune,West,Monday
8/1/2013,Arturo  Francis,Nestle Smarties Pop-Up,3,383,1149,Ranchi,East,Tuesday
8/1/2013,Bobbie  Ryan,Nestle Smarties Pop-Up,2,433,866,Darjeeling,East,Tuesday
8/1/2013,Isabel  Cross,Nestle Aero Mint Potz,3,290,870,Ranchi,East,Tuesday
8/1/2013,Rachel  Gomez,Nestle Fab,21,207,4347,Delhi,North,Tuesday
9/1/2013,Willie  Vega,Nestle Rowntree Fruit Pastil,3,346,1038,Delhi,North,Wednesday
9/1/2013,Shari  Silva,Nestle Aero Mint Potz,2,327,654,Mysore,South,Wednesday
9/1/2013,Max  Rodgers,Nestle Aero Mint Potz,3,336,1008,Nagpur,West,Wednesday
9/1/2013,Lance  Yates,Nestle Maxibon Cookie,2,118,236,Srinagar,North,Wednesday
10/1/2013,Jenny  Garcia,Nestle Toffee Crumble,1,492,492,Shimla,North,Thursday
10/1/2013,Peter  Hodges,Nestle Toffee Crumble,2,218,436,Shimla,North,Thursday
10/1/2013,Drew  Rogers,Nestle Nobbly Bobbly,3,188,564,Delhi,North,Thursday
10/1/2013,Marian  Hill,Nestle Smarties Pop-Up,1,361,361,Trivandrum,South,Thursday
11/1/2013,Ruben  Nunez,Nestle Fab,1,494,494,Ahmedabad,West,Friday
11/1/2013,Mable  Lindsey,Nestle Nobbly Bobbly,19,342,6498,Ahmedabad,West,Friday
11/1/2013,Christina  Fuller,Nestle Maxibon Cookie,2,162,324,Nagpur,West,Friday
11/1/2013,Bernadette  Page,Nestle Fab,1,316,316,Delhi,North,Friday
11/1/2013,Lee  Mack,Nestle Aero Mint Potz,2,401,802,Delhi,North,Friday
11/1/2013,Marion  Glover,Nestle Toffee Crumble,2,443,886,Durgapur,East,Friday
11/1/2013,Cassandra  Franklin,Nestle Nobbly Bobbly,2,342,684,Delhi,North,Friday
11/1/2013,Eric  Rose,Nestle Nobbly Bobbly,3,498,1494,Mumbai,West,Friday
11/1/2013,Christy  Olson,Nestle Toffee Crumble,1,100,100,Surat,West,Friday
12/1/2013,Cecilia  Manning,Nestle Rolo Potz,2,178,356,Trivandrum,South,Saturday
12/1/2013,Cecilia  Manning,Nestle Milky Bar Stick,1,352,352,Trivandrum,South,Saturday
12/1/2013,Jaime  Pearson,Nestle Kit Kat Cone,1,279,279,Jodhpur,North,Saturday
12/1/2013,Johanna  Boone,Nestle Rowntree Fruit Pastil,3,300,900,Mysore,South,Saturday
12/1/2013,Dan  Peterson,Nestle Rowntree Screamers,1,320,320,Shimla,North,Saturday
12/1/2013,Christy  Olson,Nestle Smarties Pop-Up,2,350,700,Surat,West,Saturday
13/1/2013,Lula  Daniels,Nestle Fab,2,231,462,Nainital,North,Sunday
13/1/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,4,477,1908,Delhi,North,Sunday
13/1/2013,Edwin  Malone,Nestle Aero Mint Potz,3,432,1296,Kolkata,East,Sunday
13/1/2013,Dan  Peterson,Nestle Maxibon Cookie,2,149,298,Shimla,North,Sunday
14/1/2013,Cassandra  Franklin,Nestle Fab,4,403,1612,Delhi,North,Monday
14/1/2013,Shari  Silva,Nestle Kit Kat Cone,2,489,978,Mysore,South,Monday
14/1/2013,Brooke  Horton,Nestle Fab,15,370,5550,Nainital,North,Monday
14/1/2013,Ben  Perez,Nestle Fab,2,191,382,Goa,West,Monday
14/1/2013,Willie  Vega,Nestle Milky Bar Stick,1,411,411,Delhi,North,Monday
15/1/2013,Bernadette  Page,Nestle Smarties Pop-Up,2,296,592,Delhi,North,Tuesday
